ip,domain
103.6.84.70,dns1.dnsfilter.com
103.6.84.70,dns2.dnsfilter.com
103.6.84.70,dns3.dnsfilter.com
103.6.84.70,dns4.dnsfilter.com
103.6.84.70,hkg22501.dnsfilter.co
103.68.61.175,103.68.61.175.layerdns.cloud
103.68.61.175,dnshk.zgc.su
103.6.87.110,dns1.dnsfilter.com
103.6.87.110,dns2.dnsfilter.com
103.6.87.110,dns3.dnsfilter.com
103.6.87.110,dns4.dnsfilter.com
103.6.87.110,maa22702.dnsfilter.co
103.6.87.34,dns1.dnsfilter.com
103.6.87.34,dns2.dnsfilter.com
103.6.87.34,dns3.dnsfilter.com
103.6.87.34,dns4.dnsfilter.com
103.6.87.34,maa22701.dnsfilter.co
103.73.64.132,au.ahadns.net
103.73.64.132,dot.au.ahadns.net
103.76.165.210,dns1.eerodns.com
103.76.165.210,dns2.eerodns.com
103.76.165.210,syd201101.eerodns.com
103.77.234.58,dns1.dnsfilter.com
103.77.234.58,dns2.dnsfilter.com
103.77.234.58,dns3.dnsfilter.com
103.77.234.58,dns4.dnsfilter.com
103.77.234.58,per205101.dnsfilter.co
103.77.234.62,dns1.eerodns.com
103.77.234.62,dns2.eerodns.com
103.77.234.62,per205101.eerodns.com
103.84.155.237,dns1.dnsfilter.com
103.84.155.237,dns2.dnsfilter.com
103.84.155.237,dns3.dnsfilter.com
103.84.155.237,dns4.dnsfilter.com
103.84.155.237,tyo21201.dnsfilter.co
103.85.42.42,dns1.dnsfilter.com
103.85.42.42,dns2.dnsfilter.com
103.85.42.42,dns3.dnsfilter.com
103.85.42.42,dns4.dnsfilter.com
103.85.43.43,dns1.dnsfilter.com
103.85.43.43,dns2.dnsfilter.com
103.85.43.43,dns3.dnsfilter.com
103.85.43.43,dns4.dnsfilter.com
103.86.96.100,dns1.nordvpn.com
103.86.96.100,www.dns1.nordvpn.com
103.86.99.100,dns2.nordvpn.com
103.86.99.100,www.dns2.nordvpn.com
103.88.47.112,dns.nextdns.io
