ip,path,flag,geth1,geth2,posth1,posth2,jsonh1,jsonh2
23.247.214.7,query,true,true,true,true,true,true,true
23.247.214.7,resolve,true,true,true,true,true,true,true
23.247.214.7,,true,true,true,true,true,true,true
43.251.29.104,query,true,false,false,false,true,false,false
43.251.29.104,resolve,true,false,false,true,false,false,false
43.251.29.104,,true,false,false,false,true,false,false
119.91.151.249,dns-query,true,true,true,true,true,false,false
135.84.245.179,dns-query,true,false,false,false,true,false,false
135.84.245.179,query,true,false,false,true,true,false,false
135.84.245.179,resolve,true,false,false,true,true,false,false
135.84.245.179,,true,false,false,false,true,false,false
147.78.178.170,dns-query,true,true,true,true,true,false,false
167.179.214.156,query,true,false,false,false,true,false,false
167.179.214.156,,true,false,false,true,true,false,false
204.80.7.118,,true,true,true,false,false,true,true
23.247.215.69,dns-query,true,true,true,true,true,true,true
23.247.215.69,query,true,true,true,true,true,true,true
23.247.215.69,resolve,true,true,true,true,true,true,false
119.91.252.253,dns-query,true,true,true,true,true,false,false
135.84.245.200,dns-query,true,false,false,false,true,false,false
135.84.245.200,resolve,true,false,false,true,false,false,false
167.179.213.29,query,true,false,false,true,false,false,false
217.169.20.23,dns-query,true,true,true,true,true,false,false
217.169.20.23,,true,true,true,false,false,false,false
23.247.215.93,dns-query,true,true,true,true,true,true,true
23.247.215.93,query,true,true,true,true,true,true,true
23.247.215.93,resolve,true,true,true,true,false,false,false
76.76.10.77,dns-query,true,true,true,true,true,false,false
76.76.10.77,query,true,true,true,true,true,false,false
76.76.10.77,resolve,true,true,true,true,true,false,false
119.91.29.242,dns-query,true,true,true,true,true,false,false
135.84.245.18,dns-query,true,false,false,true,true,false,false
135.84.245.18,resolve,true,false,false,true,false,false,false
135.84.245.18,,true,false,false,true,false,false,false
167.179.212.107,dns-query,true,false,false,true,false,false,false
167.179.212.107,resolve,true,false,false,true,true,false,false
185.253.5.240,dns-query,true,true,true,true,true,true,true
185.253.5.240,query,true,true,true,true,true,true,true
185.253.5.240,resolve,true,true,true,true,true,true,true
185.253.5.240,,true,true,true,false,false,false,false
23.247.214.41,dns-query,true,true,true,true,true,true,true
23.247.214.41,query,true,true,true,true,true,true,true
23.247.214.41,resolve,true,true,true,true,true,true,true
23.247.214.41,,true,true,true,true,true,true,true
43.251.149.70,dns-query,true,false,false,true,true,false,false
43.251.149.70,query,true,false,false,false,true,false,false
43.251.149.70,resolve,true,false,false,false,true,false,false
43.251.149.70,,true,false,false,true,true,false,false
103.241.30.145,dns-query,true,false,false,true,true,false,false
103.241.30.145,resolve,true,false,false,false,true,false,false
103.241.30.145,,true,false,false,false,true,false,false
152.70.61.84,dns-query,true,true,true,true,true,false,false
167.179.214.221,dns-query,true,false,false,false,true,false,false
167.179.214.221,query,true,false,false,true,true,false,false
167.179.214.221,resolve,true,false,false,true,true,false,false
167.179.214.221,,true,false,false,false,true,false,false
185.253.5.248,dns-query,true,true,true,true,true,true,true
185.253.5.248,query,true,true,true,true,true,true,true
185.253.5.248,resolve,true,true,true,true,true,true,true
185.253.5.248,,true,true,false,false,false,false,false
23.247.215.243,dns-query,true,true,true,true,true,true,true
23.247.215.243,query,true,true,true,true,true,true,true
23.247.215.243,resolve,true,true,true,true,true,true,true
66.102.36.214,dns-query,true,true,true,true,true,false,false
81.169.222.225,dns-query,true,true,true,true,true,false,false
81.169.222.225,query,true,true,true,true,true,false,false
81.169.222.225,resolve,true,true,true,true,true,false,false
81.169.222.225,,true,true,true,true,true,false,false
13.113.218.223,dns-query,true,true,true,true,true,false,false
135.84.249.42,dns-query,true,false,false,true,false,false,false
135.84.249.42,query,true,false,false,true,true,false,false
135.84.249.42,resolve,true,false,false,false,true,false,false
167.179.212.211,query,true,false,false,false,true,false,false
167.179.212.211,resolve,true,false,false,false,true,false,false
187.190.220.44,dns-query,true,true,true,true,true,true,true
187.190.220.44,query,true,true,true,true,true,true,true
187.190.220.44,resolve,true,true,true,true,true,true,true
187.190.220.44,,true,false,true,true,true,true,true
34.101.243.116,dns-query,true,true,true,true,true,false,false
43.251.69.19,query,true,false,false,false,true,false,false
43.251.69.19,resolve,true,false,false,true,true,false,false
43.251.69.19,,true,false,false,false,true,false,false
120.241.150.48,,true,false,false,true,true,false,false
135.84.249.35,dns-query,true,false,false,false,true,false,false
135.84.249.35,resolve,true,false,false,true,true,false,false
167.179.213.26,dns-query,true,false,false,true,false,false,false
217.146.31.87,dns-query,true,true,true,true,true,true,true
217.146.31.87,query,true,true,true,true,true,true,true
217.146.31.87,resolve,true,true,true,true,true,true,true
217.146.31.87,,true,true,true,true,true,true,true
37.114.32.99,dns-query,true,true,true,true,true,false,false
45.90.30.161,dns-query,true,true,true,true,true,true,true
45.90.30.161,query,true,true,true,true,true,true,true
45.90.30.161,resolve,true,true,true,true,true,true,true
45.90.30.161,,true,true,true,true,true,true,true
45.90.31.10,dns-query,true,true,true,true,true,true,true
45.90.31.10,query,true,true,true,true,true,true,true
45.90.31.10,resolve,true,true,true,true,true,true,true
45.90.31.10,,true,true,true,true,true,true,true
45.90.31.50,dns-query,true,true,true,true,true,true,true
45.90.31.50,query,true,true,true,false,false,false,false
120.36.63.49,dns-query,true,true,true,true,true,true,true
120.36.63.49,query,true,true,true,true,true,true,true
120.36.63.49,resolve,true,true,true,true,true,true,true
120.36.63.49,,true,true,true,true,true,true,true
135.84.245.99,dns-query,true,false,false,false,true,false,false
135.84.245.99,query,true,false,false,true,true,false,false
135.84.245.99,resolve,true,false,false,true,true,false,false
135.84.245.99,,true,false,false,false,true,false,false
203.29.241.76,dns-query,true,true,true,true,true,false,false
23.247.214.118,dns-query,true,true,true,true,true,true,true
23.247.214.118,query,true,true,true,true,true,true,true
23.247.214.118,resolve,true,true,true,true,true,true,true
23.247.214.118,,true,true,true,true,true,true,true
3.137.183.245,dns-query,true,true,true,true,true,false,false
45.90.30.110,dns-query,true,true,true,true,true,true,true
45.90.30.110,query,true,true,true,true,true,true,true
45.90.30.110,resolve,true,true,true,true,true,true,true
45.90.30.110,,true,true,true,true,true,true,true
45.90.30.137,dns-query,true,true,true,true,true,true,true
45.90.30.137,query,true,true,true,true,true,true,true
45.90.30.137,resolve,true,true,true,true,true,true,true
45.90.30.137,,true,true,true,true,true,true,true
45.90.30.243,dns-query,true,true,true,true,true,true,true
45.90.30.243,query,true,true,true,true,true,true,true
45.90.30.243,resolve,true,true,true,true,false,false,false
80.125.180.161,dns-query,true,true,true,true,true,false,false
80.125.180.161,query,true,true,true,true,true,false,false
80.125.180.161,resolve,true,true,true,true,true,false,false
80.125.180.161,,true,true,true,true,true,false,false
120.53.53.53,dns-query,true,true,true,true,true,false,false
135.84.245.17,dns-query,true,false,false,true,false,false,false
135.84.245.17,query,true,false,false,false,true,false,false
135.84.245.17,resolve,true,false,false,false,true,false,false
167.179.212.73,dns-query,true,false,false,true,true,false,false
167.179.212.73,query,true,false,false,false,true,false,false
167.179.212.73,resolve,true,false,false,true,false,false,false
185.253.5.199,dns-query,true,true,true,true,true,true,true
185.253.5.199,query,true,true,true,true,true,true,true
185.253.5.199,resolve,true,true,true,true,true,true,true
185.253.5.199,,true,true,true,true,false,false,false
23.247.213.58,dns-query,true,true,true,true,true,true,true
23.247.213.58,query,true,true,true,true,true,true,true
23.247.213.58,resolve,true,true,true,true,true,true,false
54.161.72.93,dns-query,true,true,true,true,true,false,false
76.76.2.226,dns-query,true,true,true,true,true,false,false
76.76.2.226,query,true,true,true,true,true,false,false
76.76.2.226,resolve,true,true,true,true,true,false,false
120.55.44.44,dns-query,true,true,true,true,true,false,false
135.84.245.32,query,true,false,false,false,true,false,false
135.84.245.32,resolve,true,false,false,true,true,false,false
167.179.213.208,query,true,false,false,true,false,false,false
167.179.213.208,resolve,true,false,false,false,true,false,false
167.179.213.208,,true,false,false,true,false,false,false
188.172.251.1,dns-query,true,true,true,true,true,true,true
188.172.251.1,query,true,true,true,true,true,true,true
188.172.251.1,resolve,true,true,true,true,true,true,true
188.172.251.1,,true,true,true,true,true,true,true
23.247.212.158,dns-query,true,true,true,true,true,true,true
23.247.212.158,query,true,true,true,true,true,true,true
23.247.212.158,resolve,true,true,true,true,true,true,true
23.247.212.158,,true,true,true,true,true,true,true
23.247.215.26,dns-query,true,true,true,true,true,true,true
23.247.215.26,query,true,true,true,true,true,true,true
23.247.215.26,resolve,true,true,true,true,true,true,true
64.227.15.121,dns-query,true,true,true,true,true,false,false
64.227.15.121,query,true,true,true,true,true,false,false
64.227.15.121,resolve,true,true,true,true,true,false,false
64.227.15.121,,true,true,true,true,true,false,false
76.76.2.128,dns-query,true,true,true,true,true,false,false
76.76.2.128,query,true,true,true,true,true,false,false
76.76.2.128,resolve,true,true,true,true,true,false,false
120.55.95.50,dns-query,true,true,true,true,true,true,true
120.55.95.50,query,true,true,true,true,true,true,true
120.55.95.50,resolve,true,true,true,true,true,true,true
120.55.95.50,,true,true,true,true,true,true,true
135.84.249.31,dns-query,true,false,false,true,false,false,false
167.179.214.42,dns-query,true,false,false,false,true,false,false
167.179.214.42,query,true,false,false,false,true,false,false
167.179.214.42,resolve,true,false,false,true,false,false,false
167.179.214.42,,true,false,false,true,false,false,false
194.110.115.97,dns-query,true,true,true,true,true,true,true
194.110.115.97,query,true,true,true,true,true,true,true
194.110.115.97,resolve,true,true,true,true,true,true,true
194.110.115.97,,true,true,true,true,true,true,true
23.247.213.215,dns-query,true,true,true,true,true,true,true
23.247.213.215,query,true,true,true,true,true,true,true
23.247.213.215,resolve,true,true,true,true,true,true,true
47.100.207.231,dns-query,true,true,true,true,true,false,false
5.196.14.242,dns-query,true,true,true,true,true,false,false
76.76.2.251,dns-query,true,true,true,true,true,false,false
76.76.2.251,query,true,true,true,true,true,false,false
76.76.2.251,resolve,true,true,true,true,true,false,false
120.77.174.10,dns-query,true,true,true,true,true,false,false
135.84.245.186,query,true,false,false,true,false,false,false
167.179.214.36,dns-query,true,false,false,true,false,false,false
167.179.214.36,query,true,false,false,false,true,false,false
167.179.214.36,resolve,true,false,false,true,true,false,false
197.227.5.32,dns-query,true,true,true,true,true,false,false
197.227.5.32,query,true,true,true,true,true,false,false
197.227.5.32,resolve,true,true,true,true,true,false,false
197.227.5.32,,true,true,true,true,true,false,false
45.90.30.101,dns-query,true,true,true,true,true,true,true
45.90.30.101,query,true,true,true,true,true,true,true
45.90.30.101,resolve,true,true,true,true,true,true,true
45.90.30.101,,true,true,true,true,true,true,true
45.90.30.156,dns-query,true,true,true,true,true,true,true
45.90.30.156,query,true,true,true,true,true,true,true
45.90.30.156,resolve,true,true,true,true,true,true,true
45.90.30.156,,true,true,true,true,true,true,true
45.90.30.3,dns-query,true,true,true,true,true,true,true
45.90.30.3,query,true,true,true,true,true,true,true
45.90.30.3,resolve,true,true,true,true,true,true,true
45.90.30.3,,true,true,true,true,true,true,true
45.90.31.64,dns-query,true,true,true,true,true,true,false
120.78.219.6,dns-query,true,true,true,true,true,false,false
135.84.245.189,dns-query,true,false,false,false,true,false,false
135.84.245.189,query,true,false,false,true,false,false,false
135.84.245.189,,true,false,false,false,true,false,false
167.179.213.173,query,true,false,false,true,false,false,false
167.179.213.173,resolve,true,false,false,true,true,false,false
167.179.213.173,,true,false,false,true,false,false,false
185.253.5.31,dns-query,true,true,true,true,true,true,true
185.253.5.31,query,true,true,true,true,true,true,true
185.253.5.31,resolve,true,true,true,true,true,true,true
185.253.5.31,,true,true,false,false,false,false,false
23.247.215.45,dns-query,true,true,true,true,true,true,true
23.247.215.45,query,true,true,true,true,true,true,true
23.247.215.45,resolve,true,true,true,true,true,true,true
63.246.35.22,dns-query,true,true,true,true,true,false,false
80.149.229.116,dns-query,true,true,true,true,true,false,false
80.149.229.116,query,true,true,true,true,true,false,false
80.149.229.116,resolve,true,true,true,true,true,false,false
80.149.229.116,,true,true,true,true,true,false,false
121.130.198.10,,true,true,true,true,true,true,true
146.88.165.26,dns-query,true,false,false,false,true,false,false
146.88.165.26,query,true,false,false,false,true,false,false
146.88.165.26,resolve,true,false,false,true,false,false,false
168.138.209.89,dns-query,true,true,true,true,true,false,false
17.253.22.85,dns-query,true,true,true,true,true,false,false
176.125.239.243,dns-query,true,true,true,true,true,false,false
176.125.239.243,query,true,true,true,true,true,false,false
176.125.239.243,resolve,true,true,true,true,true,false,false
222.88.72.38,dns-query,true,true,true,true,true,false,false
23.247.213.195,dns-query,true,true,true,true,true,true,true
23.247.213.195,query,true,true,true,true,true,true,true
23.247.213.195,resolve,true,true,true,true,true,true,true
23.247.213.195,,true,true,true,false,false,false,false
45.90.29.243,dns-query,true,true,true,true,true,true,true
45.90.29.243,query,true,true,true,true,true,true,true
45.90.29.243,resolve,true,true,true,true,true,true,true
76.76.2.190,dns-query,true,true,true,true,true,false,false
76.76.2.190,query,true,true,true,true,true,false,false
76.76.2.190,resolve,true,true,true,true,true,false,false
121.131.206.253,,true,true,true,true,true,true,true
146.19.14.106,dns-query,true,true,true,true,true,true,true
146.19.14.106,query,true,true,true,true,true,true,true
146.19.14.106,resolve,true,true,true,true,true,true,true
146.19.14.106,,true,true,true,true,true,true,true
146.19.14.205,dns-query,true,true,true,true,true,true,true
146.19.14.205,query,true,true,true,true,true,true,true
146.19.14.205,resolve,true,true,true,true,true,true,true
146.19.14.205,,true,true,true,true,true,true,true
146.59.157.241,,true,false,true,true,true,false,false
146.88.169.79,query,true,false,false,true,true,false,false
146.88.169.79,resolve,true,false,false,false,true,false,false
176.125.239.6,dns-query,true,true,true,true,true,false,false
176.125.239.6,query,true,true,true,true,true,false,false
176.125.239.6,resolve,true,true,true,true,true,false,false
183.182.64.18,dns-query,true,false,false,false,true,false,false
183.182.64.18,resolve,true,false,false,true,true,false,false
183.182.64.18,,true,false,false,false,true,false,false
45.90.30.9,dns-query,true,true,true,true,true,true,true
45.90.30.9,query,true,true,true,true,true,true,true
45.90.30.9,resolve,true,true,true,true,true,true,true
45.90.30.9,,true,true,true,true,true,true,true
45.90.31.222,dns-query,true,true,true,true,true,true,true
45.90.31.222,query,true,true,true,true,true,true,true
45.90.31.222,resolve,true,true,true,false,false,false,false
81.68.105.35,dns-query,true,true,true,true,true,false,false
103.241.30.148,dns-query,true,false,false,true,true,false,false
103.241.30.148,query,true,false,false,true,false,false,false
103.241.30.148,resolve,true,false,false,true,false,false,false
103.241.30.148,,true,false,false,true,false,false,false
146.88.173.89,query,true,false,false,true,false,false,false
185.253.5.226,dns-query,true,true,true,true,true,true,true
185.253.5.226,query,true,true,true,true,true,true,true
185.253.5.226,resolve,true,true,true,true,true,true,true
185.253.5.226,,true,true,true,false,false,false,false
23.247.214.33,dns-query,true,true,true,true,true,true,true
23.247.214.33,query,true,true,true,true,true,true,true
23.247.214.33,resolve,true,true,true,true,true,true,true
23.247.214.33,,true,true,true,true,true,true,true
43.251.149.49,dns-query,true,false,false,true,false,false,false
43.251.149.49,query,true,false,false,true,true,false,false
43.251.149.49,resolve,true,false,false,true,true,false,false
12.20.116.173,dns-query,true,true,true,true,true,false,false
12.20.116.173,query,true,true,true,true,true,false,false
12.20.116.173,resolve,true,true,true,true,true,false,false
12.20.116.173,,true,true,true,true,true,false,false
146.88.169.225,dns-query,true,false,false,false,true,false,false
146.88.169.225,query,true,false,false,true,false,false,false
146.88.169.225,resolve,true,false,false,true,true,false,false
176.125.239.171,dns-query,true,true,true,true,true,false,false
176.125.239.171,query,true,true,true,true,true,false,false
176.125.239.171,resolve,true,true,true,true,true,false,false
211.152.0.24,dns-query,true,true,true,true,true,true,true
211.152.0.24,query,true,true,true,true,true,true,true
211.152.0.24,resolve,true,true,true,true,true,true,true
211.152.0.24,,true,true,true,true,true,true,true
23.247.212.211,dns-query,true,true,true,true,true,true,true
23.247.212.211,query,true,true,true,true,true,true,true
23.247.212.211,resolve,true,true,true,true,true,true,true
23.247.212.211,,true,true,true,true,true,false,false
43.251.29.82,dns-query,true,false,false,true,false,false,false
43.251.29.82,query,true,false,false,false,true,false,false
43.251.29.82,resolve,true,false,false,true,false,false,false
43.251.29.82,,true,false,false,true,false,false,false
