ip,domain,path
172.67.207.222,freedom.mydns.network,dns-query
173.199.126.35,hydra.plan9-ns1.com,dns-query
174.138.29.175,doh.tiar.app,dns-query
174.138.29.175,dot.tiar.app,dns-query
176.9.1.117,dnsforge.de,dns-query
176.9.199.158,dns.decloudus.com,dns-query
176.9.93.198,dnsforge.de,dns-query
185.134.196.54,rdns.faelix.net,
185.134.196.55,rdns.faelix.net,
185.150.99.255,doh.ffmuc.net,
185.150.99.255,doh.ffmuc.net,dns-query
185.150.99.255,doh.ffmuc.net,query
185.150.99.255,doh.ffmuc.net,resolve
185.175.56.133,doh.no.ahadns.net,dns-query
185.194.94.71,dns.circl.lu,dns-query
185.194.94.71,dns.circl.lu,resolve
185.213.26.187,doh.ny.ahadns.net,dns-query
185.216.27.142,doh.42l.fr,dns-query
185.222.222.222,doh.sb,dns-query
185.222.222.222,public-dns-a.dns.sb,dns-query
185.228.168.10,doh.cleanbrowsing.org,doh/family-filter/
185.228.168.168,doh.cleanbrowsing.org,doh/family-filter/
185.233.106.232,dns.dnshome.de,dns-query
185.233.107.4,dns.dnshome.de,dns-query
185.235.81.1,doh.dnslify.com,dns-query
185.253.154.66,dnses.alekberg.net,dns-query
185.38.27.139,kracon.anycast.censurfridns.dk,
185.38.27.139,kracon.anycast.censurfridns.dk,dns-query
185.38.27.139,kracon.anycast.uncensoreddns.org,
185.38.27.139,kracon.anycast.uncensoreddns.org,dns-query
185.64.79.5,doh.dns.sb,dns-query
185.93.1.242,doh2.b-cdn.net,dns-query
185.93.1.242,doh2.blahdns.com,dns-query
185.95.218.42,dns1.digitale-gesellschaft.ch,dns-query
185.95.218.42,dns.digitale-gesellschaft.ch,dns-query
185.95.218.43,dns2.digitale-gesellschaft.ch,dns-query
185.95.218.43,dns.digitale-gesellschaft.ch,dns-query
192.53.175.149,doh-sg.blahdns.com,dns-query
193.29.62.196,doh.chi.ahadns.net,dns-query
193.70.85.11,doh.bortzmeyer.fr,
194.124.76.14,us-east.adhole.org,dns-query
198.180.150.12,rgnet-iad.anycast.censurfridns.dk,
198.180.150.12,rgnet-iad.anycast.censurfridns.dk,dns-query
198.180.150.12,rgnet-iad.anycast.uncensoreddns.org,
198.180.150.12,rgnet-iad.anycast.uncensoreddns.org,dns-query
202.5.221.130,jp-kix.doh.sb,dns-query
202.5.221.131,jp-kix.doh.sb,dns-query
202.5.221.132,jp-kix.doh.sb,dns-query
202.5.221.133,jp-kix.doh.sb,dns-query
202.5.221.134,jp-kix.doh.sb,dns-query
207.148.120.244,doh.asia.dnswarden.com,adblock
207.148.120.244,doh.asia.dnswarden.com,adultfilter
207.148.120.244,doh.asia.dnswarden.com,uncensored
208.67.220.123,familyshield.opendns.com,dns-query
208.67.220.220,dns.opendns.com,dns-query
208.67.220.2,sandbox.opendns.com,dns-query
208.67.222.123,familyshield.opendns.com,dns-query
208.67.222.222,dns.opendns.com,dns-query
208.67.222.2,sandbox.opendns.com,dns-query
209.250.226.191,chromium.dns.nextdns.io,
209.250.226.191,chromium.dns.nextdns.io,dns-query
209.250.226.191,chromium.dns.nextdns.io,query
209.250.226.191,chromium.dns.nextdns.io,resolve
209.250.226.191,dns.nextdns.io,
209.250.226.191,dns.nextdns.io,dns-query
209.250.226.191,dns.nextdns.io,query
209.250.226.191,dns.nextdns.io,resolve
210.16.120.48,sg.adhole.org,dns-query
213.196.191.96,ibksturm.synology.me,dns-query
217.169.20.22,dns.aa.net.uk,
217.169.20.22,dns.aa.net.uk,dns-query
217.169.20.23,dns.aa.net.uk,
217.169.20.23,dns.aa.net.uk,dns-query
221.228.217.28,dns.ipv6dns.com,dns-query
223.5.5.5,dns.alidns.com,dns-query
223.6.6.6,dns.alidns.com,dns-query
23.226.134.242,dns.wevpn.com,dns-query
23.226.134.243,dns-weblock.wevpn.com,dns-query
24.240.146.7,doh-01.spectrum.com,dns-query
24.240.146.8,doh-02.spectrum.com,dns-query
37.252.230.153,chromium.dns.nextdns.io,
37.252.230.153,chromium.dns.nextdns.io,dns-query
37.252.230.153,chromium.dns.nextdns.io,query
37.252.230.153,chromium.dns.nextdns.io,resolve
37.252.230.153,dns.nextdns.io,
37.252.230.153,dns.nextdns.io,dns-query
37.252.230.153,dns.nextdns.io,query
37.252.230.153,dns.nextdns.io,resolve
37.252.249.233,chromium.dns.nextdns.io,
37.252.249.233,chromium.dns.nextdns.io,dns-query
37.252.249.233,chromium.dns.nextdns.io,query
37.252.249.233,chromium.dns.nextdns.io,resolve
37.252.249.233,dns1.nextdns.io,
37.252.249.233,dns1.nextdns.io,dns-query
37.252.249.233,dns1.nextdns.io,query
